"state","state1","zip","provider","DOB","uri","planname","quote_P","apply_P","confirm_P"
"Alabama","AL","35215","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Alaska","AK","99504","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","72209","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##California","CA","90011","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Colorado","CO","80219","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Connecticut","CT","06606","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Delaware","DE","19805","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Florida","FL","33186","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","30044","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96818","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Iowa","IA","50317","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83709","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","60629","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Indiana","IN","46227","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Kansas","KS","66062","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Kentucky","KY","40214","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Louisiana","LA","70816","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Massachusetts","MA","02128","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Maryland","MD","21215","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Maine","ME","04401","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48228","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Minnesota","MN","55106","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Missouri","MO","63129","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Mississippi","MS","39503","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Montana","MT","59102","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##North Carolina","NC","28269","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##North Dakota","ND","58103","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","68104","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##New Hampshire","NH","03103","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##New Jersey","NJ","08701","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##New Mexico","NM","87121","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89110","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##New York","NY","11226","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Ohio","OH","43228","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Oregon","OR","97229","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","19120","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Rhode Island","RI","02909","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"South Carolina","SC","29223","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##South Dakota","SD","57106","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Tennessee","TN","37013","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Texas","TX","79936","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Utah","UT","84120","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Virginia","VA","23464","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Vermont","VT","05401","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Washington","WA","98115","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"Wisconsin","WI","53215","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##West Virginia","WV","25302","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
"##Wyoming","WY","82001","National General","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}"
