"state1","Carrier","zipcode","planUri","url1","url2"
"IL","carrier-chubb-","60629","cardinalchoice-il-750-22500-75-3","${url1}","${url2}"
"IL","carrier-gtl-","60629","agilesecure-il","${url1}","${url2}"
"IL","carrier-axis-","60629","legion-il-500-30-100-3","${url1}","${url2}"
"IL","carrier-axis-","60629","coreshield-il-1000-30-100-5","${url1}","${url2}"
"IL","carrier-slaicohbi-","60629","slaicohbi-il-500-30-50-5","${url1}","${url2}"
"##IL","Nationalwide","60629","foundation-dental-guardian-il-vision-product","${url1}","${url2}"
"##AL","Nationalwide","35216","foundation-dental-protector-i-al","${url1}","${url2}"
"##AL","Nationalwide","35216","foundation-dental-defender-al","${url1}","${url2}"
"##AL","Nationalwide","35216","foundation-dental-protector-i-al-vision-product","${url1}","${url2}"
"##AL","Nationalwide","35216","foundation-dental-guardian-al","${url1}","${url2}"
"##AL","Nationalwide","35216","foundation-dental-defender-al-vision-product","${url1}","${url2}"
"##AL","Nationalwide","35216","foundation-dental-guardian-al-vision-product","${url1}","${url2}"
