"state","zipcode","planid","premium","duration","extendedInfo","uri","status"
"al","35215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ak","99504","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ar","72209","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"az","85364","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ca","90011","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##co","80219","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ct","06606","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##de","19805","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"dc","20015","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"fl","33186","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ga","30044","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##hi","96818","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ia","50317","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##id","83709","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"il","60629","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##in","46227","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ks","66062","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ky","40214","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"la","70816","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ma","02128","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"md","21215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##me","04401","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mi","48228","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mn","55106","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"mo","63129","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ms","39503","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"mt","59102","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nc","28269","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nd","58103","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ne","68104","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nh","03103","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nj","08701","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nm","87121","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nv","89110","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ny","11226","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"oh","43228","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ok","73160","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"or","97229","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##pa","19120","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ri","02909","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"sc","29223","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"sd","57106","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"tn","37013","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"tx","79936","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ut","84120","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"va","23464","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##vt","05401","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##wa","98115","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wi","53215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wv","25302","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wy","82001","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
