"state","zipcode","productId","carrierid","planname","SSD"
"##AL","35215","lifeshield-flex","lifeshield","${planname}",""
"##AK","99504","","lifeshield","${planname}",""
"##AR","72209","","lifeshield","${planname}",""
"##AZ","85364","lifeshield-flex","lifeshield","${planname}",""
"##CA","90011","","lifeshield","${planname}",""
"##CO","80219","lifeshield-flex","lifeshield","${planname}","${COSSD}"
"##CT","6606","","lifeshield","${planname}",""
"##DE","19805","","lifeshield","${planname}",""
"##DC","20015","","lifeshield","${planname}",""
"##FL","33186","","lifeshield","${planname}",""
"##GA","30044","","lifeshield","${planname}",""
"##HI","96818","","lifeshield","${planname}",""
"##IA","50317","","lifeshield","${planname}",""
"##ID","83709","","lifeshield","${planname}",""
"IL","60629","standard-life-select-stm-plan-2","slaico","${planname}","${ILSSD}"
"##IN","46227","","slaico","${planname}",""
"##KS","66062","","slaico","${planname}",""
"##KY","40214","","slaico","${planname}",""
"##LA","70816","","slaico","${planname}",""
"##MA","2128","","slaico","${planname}",""
"##MD","21215","","lifeshield","${planname}",""
"##ME","4401","","lifeshield","${planname}",""
"##MI","48228","","lifeshield","${planname}",""
"##MN","55106","","lifeshield","${planname}",""
"##MO","63129","","lifeshield","${planname}",""
"##MS","39503","","lifeshield","${planname}",""
"##MT","59102","","lifeshield","${planname}",""
"##NC","28269","","lifeshield","${planname}",""
"##ND","58103","standard-life-select-stm-plan-2","slaico","${planname}","${NDSSD}"
"##NE","68104","","lifeshield","${planname}",""
"##NH","3103","","lifeshield","${planname}",""
"##NJ","8701","","lifeshield","${planname}",""
"##NM","87121","","lifeshield","${planname}",""
"##NV","89110","","lifeshield","${planname}",""
"##NY","11226","","lifeshield","${planname}",""
"##OH","43228","","lifeshield","${planname}",""
"##OK","73160","","lifeshield","${planname}",""
"##OR","97229","","lifeshield","${planname}",""
"##PA","19120","","lifeshield","${planname}",""
"##RI","2909","","lifeshield","${planname}",""
"##SC","29223","standard-life-select-stm-plan-2","lifeshield","${planname}",""
"##SD","57106","","lifeshield","${planname}",""
"##TN","37230","","lifeshield","${planname}",""
"##TX","79936","standard-life-select-stm-plan-2","lifeshield","${planname}",""
"##UT","84120","","lifeshield","${planname}",""
"##VA","23464","","lifeshield","${planname}",""
"##VT","5401","","lifeshield","${planname}",""
"##WA","98115","","lifeshield","${planname}",""
"##WI","53215","","lifeshield","${planname}",""
"##WV","25302","","lifeshield","${planname}",""
"##WY","82001","","lifeshield","${planname}",""
