"state","zipcode","carrierid","uri","AutoEmail","status"
"CO","80219","everest-one","${uri}","${AutoEmail}","${status}"
"FL","32099","everest","${uri}","${AutoEmail}","${status}"
"##DE","19805","everest","${uri}","${AutoEmail}","${status}"
"##OK","73160","everest","${uri}","${AutoEmail}","${status}"
"##TX","79936","everest","${uri}","${AutoEmail}","${status}"
"##NC","28269","everest","${uri}","${AutoEmail}","${status}"
"##GA","30301","everest","${uri}","${AutoEmail}","${status}"
"##SC","29223","everest","${uri}","${AutoEmail}","${status}"
"##KY","40214","everest","${uri}","${AutoEmail}","${status}"
"##IL","60001","everest","${uri}","${AutoEmail}","${status}"
"##LA","70816","everest-one","${uri}","${AutoEmail}","${status}"
"##ID","83709","everest","${uri}","${AutoEmail}","${status}"
"##MN","55106","everest-one","${uri}","${AutoEmail}","${status}"
