"state","state1","zipcode","PlanName","Text1","Text2"
"Alabama","AL","35215","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Alaska","AK","99504","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Arkansas","AR","72209","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Arizona","AZ","85364","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 13 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"California","CA","90011","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 14 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Colorado","CO","80219","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 15 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Connecticut","CT","06606","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 16 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Delaware","DE","19805","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 17 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"District Of Columbia","DC","20015","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 18 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Florida","FL","33186","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 19 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
